MTCH,0.02%
HAS,0.02%
CZR,0.02%
GL,0.02%
MKTX,0.02%
FRT,0.02%
ETSY,0.02%
RHI,0.02%
DVA,0.02%
CMA,0.02%
IVZ,0.02%
NCLH,0.02%
BEN,0.02%
RL,0.02%
PARA,0.01%
MHK,0.01%
BIO,0.01%
FOX,0.01%
NWS,0.01%
